controller,joint,angle_deg,max_abs_error_rad_cmd_joint,final_abs_error_rad_cmd_joint,rms_error_rad_cmd_joint,max_abs_tau_nm_cmd_joint,all_joint_max_abs_error_rad,all_joint_max_abs_tau_nm,csv
cpid_fric2p5,1,30.0,0.026343645590694853,0.0019828844640130683,0.00993854428637242,1.274660058282981,0.026343645590694853,7.43932419971446,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j1_pos30.csv
cpid_fric2p5,1,5.0,0.004342131192639764,0.0010840508963152473,0.001779439557568857,1.045639598609256,0.004342131192639764,7.411510824274264,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j1_pos5.csv
cpid_fric2p5,2,10.0,0.05890019759686793,0.04540674443835613,0.030415509004635584,6.471035654060626,0.05890019759686793,7.578370869424492,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j2_pos10.csv
cpid_fric2p5,2,30.0,0.07437617219199644,0.05353176600808762,0.03765945699287155,6.81598375936043,0.07437617219199644,7.612168729091745,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j2_pos30.csv
cpid_fric2p5,2,5.0,0.05254726869890969,0.03893322896965401,0.02566286182038988,6.376988006770315,0.05254726869890969,7.521627693458445,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j2_pos5.csv
cpid_fric2p5,3,-10.0,0.029117343934078152,0.0008084455050685335,0.017462776302935367,9.136036103094979,0.029117343934078152,9.136036103094979,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j3_neg10.csv
cpid_fric2p5,3,-30.0,0.04167973324382587,0.0007863261179856806,0.017984140663940537,9.226697540559785,0.04167973324382587,9.226697540559785,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j3_neg30.csv
cpid_fric2p5,3,-5.0,0.02639327132218662,0.000800683794850876,0.017171304354174945,9.090203655863201,0.02639327132218662,9.090203655863201,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j3_neg5.csv
cpid_fric2p5,4,-10.0,0.06355636585552729,0.0030142318506074517,0.027359731418777594,3.856964817203814,0.06355636585552729,8.67754775442143,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j4_neg10.csv
cpid_fric2p5,4,-30.0,0.08939089365665509,0.0026951821604965787,0.03113112928548372,4.009757841826049,0.08939089365665509,8.865612175934913,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j4_neg30.csv
cpid_fric2p5,4,-5.0,0.05784110877327592,0.0029021275723648543,0.027140286808764937,3.8114694401246005,0.05784110877327592,8.570370406256874,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j4_neg5.csv
cpid_fric2p5,5,-10.0,0.04234022768333781,0.041584562337482645,0.02263324165516768,1.0857126380794127,0.04234022768333781,7.404850220393785,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j5_neg10.csv
cpid_fric2p5,5,-30.0,0.12006505250360011,0.11939268595744768,0.06657333070740153,1.252936399559169,0.12006505250360011,7.393854010875842,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j5_neg30.csv
cpid_fric2p5,5,-5.0,0.019430706668043557,0.01858170657769076,0.010458315701931066,1.0432639746697348,0.019430706668043557,7.406229690393578,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j5_neg5.csv
cpid_fric2p5,5,10.0,0.021977693693576245,0.002190507578291978,0.0120325106453882,1.0933620024307973,0.021977693693576245,7.385743698492315,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j5_pos10.csv
cpid_fric2p5,5,30.0,0.09819184646743717,0.08112814301433335,0.05386171073948915,1.2517271379752388,0.09819184646743717,7.3929769156502445,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j5_pos30.csv
cpid_fric2p5,5,5.0,0.015268954297630533,0.001999511023901057,0.00789157146799724,1.0541486551178354,0.015268954297630533,7.385885130260982,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j5_pos5.csv
cpid_fric2p5,6,-10.0,0.014183860959723293,0.0007078389132484375,0.002686892564590765,1.60851431529999,0.014183860959723293,7.402792083625901,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j6_neg10.csv
cpid_fric2p5,6,-30.0,0.013820338813446242,0.0001519127292404221,0.0026341593283846407,1.755143686736044,0.013820338813446242,7.403884306582758,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j6_neg30.csv
cpid_fric2p5,6,-5.0,0.010177882378759044,0.0019136802341686021,0.0027060844747856527,1.57006770994945,0.010177882378759044,7.404472911222824,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j6_neg5.csv
cpid_fric2p5,6,10.0,0.014136440974588604,0.0018390794641316432,0.002688006322731982,1.5991530028611969,0.014136440974588604,7.403868210749285,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j6_pos10.csv
cpid_fric2p5,6,30.0,0.00938959670785533,0.001883692168158646,0.0025419757863572247,1.749027221552567,0.00938959670785533,7.4031754813950865,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j6_pos30.csv
cpid_fric2p5,6,5.0,0.01280667690709178,0.0011694151805565767,0.002593614761330166,1.5620045523180675,0.01280667690709178,7.402824920163738,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j6_pos5.csv
