source,controller,controller_label,joint,angle_deg,case,file,phase_counts,tracking_phase_definition,tracking_samples,tracking_duration_s,tracking_rate_hz,desired_delta_deg,actual_delta_deg,achieved_pct,cmd_joint_signed_final_error_deg,cmd_joint_final_abs_error_deg,cmd_joint_max_abs_error_deg,cmd_joint_rms_error_deg,cmd_joint_final_abs_error_rad,cmd_joint_max_abs_error_rad,cmd_joint_rms_error_rad,cmd_joint_max_abs_torque_nm,all_joint_max_abs_error_deg,all_joint_rms_error_deg,all_joint_max_abs_error_rad,all_joint_rms_error_rad,all_joint_max_abs_torque_nm,torque_measure_prefix,sdk_feedforward_cmd_joint_max_abs_torque_nm,sdk_feedforward_all_joint_max_abs_torque_nm,return_present,return_samples,return_duration_s,return_final_cmd_abs_error_deg,return_final_all_joint_max_abs_error_deg,return_desired_back_to_start_deg,return_completed_successfully
sim,augpd_fric2p5,AugPD friction,2,30.0,J2 +30 deg,augpd_fric2p5_j2_pos30.csv,outbound:3348;return:2877,outbound+outbound_hold,3348,7.999191362999909,418.54230609935195,29.999999999999996,29.89143434342489,99.63811447808298,0.10856686848842247,0.10856686848842247,0.18908865748099574,0.09781623816022116,0.0018948493137026512,0.003300219651219183,0.0017072154178107799,7.921312624512488,0.18908865748099574,0.04120755519888772,0.003300219651219183,0.0007192075149178974,7.921312624512488,tau_total,nan,nan,True,2877,6.998295012999961,3.5931510077833485e-05,0.04243772682136356,4.853141298619868e-20,True
sim,computed_torque_baseline,Computed torque baseline,2,30.0,J2 +30 deg,computed_torque_baseline_j2_pos30.csv,outbound:2773;return:2506,outbound+outbound_hold,2773,7.998226606000117,346.7018548736477,29.999999999999996,-4.503432001683158e-06,-1.5011440005610527e-05,30.000004503434493,30.000004503434493,30.000004842394958,23.98042640437842,0.5235988541980584,0.5235988601140346,0.4185373967885886,4.059903334606212,30.000004842394958,9.789973866825854,0.5235988601140346,0.170867277660312,7.42499053306639,tau_total,nan,nan,True,2506,6.9986715,3.282513692353868e-05,0.07184570169721895,0.0,True
sim,cpid_fric2p5,CPID friction,2,30.0,J2 +30 deg,cpid_fric2p5_j2_pos30.csv,outbound:2989;return:2686,outbound+outbound_hold,2989,7.999484665999944,373.6490692586848,29.999999999999996,29.91899322489894,99.7299774163298,0.08100677510324665,0.08100677510324665,0.2816864775169457,0.10997771368899273,0.0014138349419742235,0.004916356491015683,0.0019194732076885622,6.81598375936043,0.2816864775169457,0.04637387603590176,0.004916356491015683,0.0008093768237381818,7.612168729091745,tau_total,nan,nan,True,2686,6.996192352999969,3.0671442621453036,3.0671442621453036,0.0,False
sdk,sdk_lowcmd,Unitree SDK LOWCMD,2,30.0,J2 +30 deg,sdk_lowcmd/workspace_j2_pos30deg_sdk_lowcmd.csv,outbound:1236;outbound_hold:723;return:1752,outbound+outbound_hold,1959,7.999080535999838,244.90314745345123,29.999999999999996,29.890860761361754,99.63620253787252,0.10913923863824376,0.10913923863824376,0.3987017855457224,0.17669686196003395,0.001904839057357166,0.006958658891353192,0.0030839420191445133,6.166650295257568,0.3987017855457224,0.07894408774409979,0.006958658891353192,0.001377834256117844,7.409066200256348,tau_state,3.811019916211762,7.543906453374939,True,1752,6.993448837999949,1.2360020212061495e-06,0.19691862263969886,0.0,True
sim,augpd_nofric,AugPD no friction,3,-30.0,J3 -30 deg,augpd_nofric_j3_neg30.csv,outbound:3341;return:2907,outbound+outbound_hold,3341,7.998795890999986,417.68786771508906,-29.999999999999996,-26.616545847358317,88.7218194911944,-3.3834435867519597,3.3834435867519597,4.804013328287751,3.599437760532672,0.05905223064430809,0.08384584988831251,0.06282204014190633,9.210381358605211,4.804013328287751,1.4694707182120967,0.08384584988831251,0.02564710229444689,9.210381358605211,tau_total,nan,nan,True,2907,6.998083057000031,0.3295518444285766,0.3295518444285766,0.0,True
sim,augpd_fric2p5,AugPD friction,3,-30.0,J3 -30 deg,augpd_fric2p5_j3_neg30.csv,outbound:3287;return:2917,outbound+outbound_hold,3287,7.99968614699992,410.8911199263369,-29.999999999999996,-28.978549022388627,96.5951634079621,-1.021444388193649,1.021444388193649,2.0200342419363366,1.3730479458080076,0.01782756769999827,0.03525624852481679,0.023964207442094404,9.178721282662586,2.0200342419363366,0.5605643256751732,0.03525624852481679,0.009783693152253558,9.178721282662586,tau_total,nan,nan,True,2917,6.996698043999913,0.049765152784645154,0.09873173251786295,0.0,True
sim,computed_torque_baseline,Computed torque baseline,3,-30.0,J3 -30 deg,computed_torque_baseline_j3_neg30.csv,outbound:2768;return:2289,outbound+outbound_hold,2768,7.998049886999979,346.08436295191206,-29.999999999999996,-0.041926364211097494,0.139754547370325,-29.95807280759068,29.95807280759068,29.974199127959352,23.48477326813616,0.522867008044639,0.5231484654313038,0.40988661761332507,7.739886870269984,29.974199127959352,9.587619713446461,0.5231484654313038,0.16733553142875598,7.739886870269984,tau_total,nan,nan,True,2289,6.997619901000007,0.07606784632146989,0.07606784632146989,0.0,True
sim,cpid_fric2p5,CPID friction,3,-30.0,J3 -30 deg,cpid_fric2p5_j3_neg30.csv,outbound:2867;return:2576,outbound+outbound_hold,2867,7.9967813939999814,358.5192415227359,-29.999999999999996,-29.01127586608204,96.70425288694014,-0.9887233280946063,0.9887233280946063,2.388072806102335,1.3890544311315478,0.01725647746652703,0.04167973324382587,0.02424357331266233,9.226697540559785,2.388072806102335,0.5671029622671923,0.04167973324382587,0.009897813889375672,9.226697540559785,tau_total,nan,nan,True,2576,6.996617714999957,0.045053167881485515,0.08814644540349527,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,3,-30.0,J3 -30 deg,sdk_lowcmd/workspace_j3_neg30deg_sdk_lowcmd.csv,outbound:1254;outbound_hold:729;return:1776,outbound+outbound_hold,1983,7.997663767999711,247.9474078335712,-29.999999999999996,-29.91890079612734,99.72966932042446,-0.08110824853722534,0.08110824853722534,0.37787459735729145,0.17754772401178584,0.0014156059875004567,0.0065951558835326,0.0030987923634278585,9.656352996826172,0.37787459735729145,0.07951141190854767,0.0065951558835326,0.0013877359307135854,9.656352996826172,tau_state,7.381984068311948,7.381984068311948,True,1776,6.9942927700003565,0.027473368719318478,0.1855489189925664,0.0,True
sim,augpd_nofric,AugPD no friction,3,-10.0,J3 -10 deg,augpd_nofric_j3_neg10.csv,outbound:3209;return:2922,outbound+outbound_hold,3209,7.998270149000064,401.2117545693535,-10.0,-6.416804974421338,64.16804974421339,-3.5831916982770036,3.5831916982770036,4.070306447353019,3.3210302019174174,0.06253849286506094,0.07104024907146342,0.057962911581631034,9.110918668934923,4.070306447353019,1.3558094919979278,0.07104024907146342,0.02366333966515555,9.110918668934923,tau_total,nan,nan,True,2922,6.998709577999989,0.32890132581631193,0.32890132581631193,0.0,True
